[E 260922 00:02:08 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: Invalid expiry date. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'd2:ed:a5:12:11:ea', 'Accept': 'application/json', 'X-PrivateKey': 'MqNi8riq', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '29SEP26'}, Response: {'message': 'Invalid expiry date', 'errorcode': None, 'status': False, 'data': None}
[E 260922 00:02:50 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: Invalid expiry date. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'd2:ed:a5:12:11:ea', 'Accept': 'application/json', 'X-PrivateKey': 'MqNi8riq', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '29SEP26'}, Response: {'message': 'Invalid expiry date', 'errorcode': None, 'status': False, 'data': None}
[E 260922 00:11:41 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: Invalid expiry date. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'd2:ed:a5:12:11:ea', 'Accept': 'application/json', 'X-PrivateKey': 'MqNi8riq', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '29SEP26'}, Response: {'message': 'Invalid expiry date', 'errorcode': None, 'status': False, 'data': None}
[E 260922 10:13:01 smartWebSocketV2:87] Invalid initialization parameters. Provide valid values for all the tokens.
[E 260922 10:13:03 smartWebSocketV2:87] Invalid initialization parameters. Provide valid values for all the tokens.
[E 260922 10:14:32 smartWebSocketV2:87] Invalid initialization parameters. Provide valid values for all the tokens.
[E 260922 10:14:34 smartWebSocketV2:87] Invalid initialization parameters. Provide valid values for all the tokens.
[E 260922 10:14:38 smartWebSocketV2:87] Invalid initialization parameters. Provide valid values for all the tokens.
[W 260922 10:15:08 smartWebSocketV2:318] Attempting to resubscribe/reconnect (Attempt 1)...
[W 260922 10:15:32 smartWebSocketV2:318] Attempting to resubscribe/reconnect (Attempt 1)...
[W 260922 10:15:42 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:15:42 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:15:42 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:15:42 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:15:42 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:16:01 smartWebSocketV2:318] Attempting to resubscribe/reconnect (Attempt 1)...
[W 260922 10:17:02 smartWebSocketV2:318] Attempting to resubscribe/reconnect (Attempt 1)...
[W 260922 10:17:18 smartWebSocketV2:318] Attempting to resubscribe/reconnect (Attempt 1)...
[W 260922 10:18:25 smartWebSocketV2:318] Attempting to resubscribe/reconnect (Attempt 1)...
[W 260922 10:18:36 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:18:36 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:18:36 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:18:36 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:18:36 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:19:09 smartWebSocketV2:318] Attempting to resubscribe/reconnect (Attempt 1)...
[W 260922 10:19:15 smartWebSocketV2:318] Attempting to resubscribe/reconnect (Attempt 1)...
[W 260922 10:19:20 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:19:20 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:19:20 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:19:20 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:19:20 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:20:04 smartWebSocketV2:318] Attempting to resubscribe/reconnect (Attempt 1)...
[W 260922 10:20:34 smartWebSocketV2:318] Attempting to resubscribe/reconnect (Attempt 1)...
[I 260922 10:25:06 smartConnect:496] Search successful. Found 6320 trading symbols for the given query:
    1. exchange: NFO, tradingsymbol: NIFTY06OCT2617850PE, symboltoken: 46918
    58. exchange: NFO, tradingsymbol: NIFTY06OCT2619350PE, symboltoken: 40522
    59. exchange: NFO, tradingsymbol: NIFTY06OCT2619400CE, symboltoken: 40523
    60. exchange: NFO, tradingsymbol: NIFTY06OCT2619400PE, symboltoken: 40524
    61. exchange: NFO, tradingsymbol: NIFTY06OCT2619450CE, symboltoken: 40525
    62. exchange: NFO, tradingsymbol: NIFTY06OCT2619450PE, symboltoken: 40526
    63. exchange: NFO, tradingsymbol: NIFTY06OCT2619500CE, symboltoken: 40527
    64. exchange: NFO, tradingsymbol: NIFTY06OCT2619500PE, symboltoken: 40528
    65. exchange: NFO, tradingsymbol: NIFTY06OCT2619550CE, symboltoken: 40531
    66. exchange: NFO, tradingsymbol: NIFTY06OCT2619550PE, symboltoken: 40532
    67. exchange: NFO, tradingsymbol: NIFTY06OCT2619600CE, symboltoken: 40533
    68. exchange: NFO, tradingsymbol: NIFTY06OCT2619600PE, symboltoken: 40534
    69. exchange: NFO, tradingsymbol: NIFTY06OCT2619650CE, symboltoken: 40535
    70. exchange: NFO, tradingsymbol: NIFTY06OCT2619650PE, symboltoken: 40537
    71. exchange: NFO, tradingsymbol: NIFTY06OCT2619700CE, symboltoken: 40539
    72. exchange: NFO, tradingsymbol: NIFTY06OCT2619700PE, symboltoken: 40540
    73. exchange: NFO, tradingsymbol: NIFTY06OCT2619750CE, symboltoken: 40541
    74. exchange: NFO, tradingsymbol: NIFTY06OCT2619750PE, symboltoken: 40542
    75. exchange: NFO, tradingsymbol: NIFTY06OCT2619800CE, symboltoken: 40543
    76. exchange: NFO, tradingsymbol: NIFTY06OCT2619800PE, symboltoken: 40544
    77. exchange: NFO, tradingsymbol: NIFTY06OCT2619850CE, symboltoken: 40545
    78. exchange: NFO, tradingsymbol: NIFTY06OCT2619850PE, symboltoken: 40546
    79. exchange: NFO, tradingsymbol: NIFTY06OCT2619900CE, symboltoken: 40547
    80. exchange: NFO, tradingsymbol: NIFTY06OCT2619900PE, symboltoken: 40552
    81. exchange: NFO, tradingsymbol: NIFTY06OCT2619950CE, symboltoken: 40553
    82. exchange: NFO, tradingsymbol: NIFTY06OCT2619950PE, symboltoken: 40556
    83. exchange: NFO, tradingsymbol: NIFTY06OCT2620000CE, symboltoken: 40557
    84. exchange: NFO, tradingsymbol: NIFTY06OCT2620000PE, symboltoken: 40558
    85. exchange: NFO, tradingsymbol: NIFTY06OCT2620050CE, symboltoken: 40559
    86. exchange: NFO, tradingsymbol: NIFTY06OCT2620050PE, symboltoken: 40560
    87. exchange: NFO, tradingsymbol: NIFTY06OCT2620100CE, symboltoken: 40561
    88. exchange: NFO, tradingsymbol: NIFTY06OCT2620100PE, symboltoken: 40562
    89. exchange: NFO, tradingsymbol: NIFTY06OCT2620150CE, symboltoken: 40563
    90. exchange: NFO, tradingsymbol: NIFTY06OCT2620150PE, symboltoken: 40564
    91. exchange: NFO, tradingsymbol: NIFTY06OCT2620200CE, symboltoken: 40565
    92. exchange: NFO, tradingsymbol: NIFTY06OCT2620200PE, symboltoken: 40566
    93. exchange: NFO, tradingsymbol: NIFTY06OCT2620250CE, symboltoken: 40567
    94. exchange: NFO, tradingsymbol: NIFTY06OCT2620250PE, symboltoken: 40568
    95. exchange: NFO, tradingsymbol: NIFTY06OCT2620300CE, symboltoken: 40569
    96. exchange: NFO, tradingsymbol: NIFTY06OCT2620300PE, symboltoken: 40570
    97. exchange: NFO, tradingsymbol: NIFTY06OCT2620350CE, symboltoken: 40571
    98. exchange: NFO, tradingsymbol: NIFTY06OCT2620350PE, symboltoken: 40572
    99. exchange: NFO, tradingsymbol: NIFTY06OCT2620400CE, symboltoken: 40573
    100. exchange: NFO, tradingsymbol: NIFTY06OCT2620400PE, symboltoken: 40574
    101. exchange: NFO, tradingsymbol: NIFTY06OCT2620450CE, symboltoken: 40575
    102. exchange: NFO, tradingsymbol: NIFTY06OCT2620450PE, symboltoken: 40576
    103. exchange: NFO, tradingsymbol: NIFTY06OCT2620500PE, symboltoken: 40582
    104. exchange: NFO, tradingsymbol: NIFTY06OCT2620550CE, symboltoken: 40583
    105. exchange: NFO, tradingsymbol: NIFTY06OCT2620550PE, symboltoken: 40584
    106. exchange: NFO, tradingsymbol: NIFTY06OCT2620600CE, symboltoken: 40587
    107. exchange: NFO, tradingsymbol: NIFTY06OCT2620600PE, symboltoken: 40593
    108. exchange: NFO, tradingsymbol: NIFTY06OCT2620650CE, symboltoken: 40594
    109. exchange: NFO, tradingsymbol: NIFTY06OCT2620650PE, symboltoken: 40595
    110. exchange: NFO, tradingsymbol: NIFTY06OCT2620700CE, symboltoken: 40596
    111. exchange: NFO, tradingsymbol: NIFTY06OCT2620700PE, symboltoken: 40597
    112. exchange: NFO, tradingsymbol: NIFTY06OCT2620750CE, symboltoken: 40598
    113. exchange: NFO, tradingsymbol: NIFTY06OCT2620750PE, symboltoken: 40604
    114. exchange: NFO, tradingsymbol: NIFTY06OCT2620800CE, symboltoken: 40605
    115. exchange: NFO, tradingsymbol: NIFTY06OCT2620800PE, symboltoken: 40606
    116. exchange: NFO, tradingsymbol: NIFTY06OCT2620850CE, symboltoken: 40607
    117. exchange: NFO, tradingsymbol: NIFTY06OCT2620850PE, symboltoken: 40610
    118. exchange: NFO, tradingsymbol: NIFTY06OCT2620900CE, symboltoken: 40611
    119. exchange: NFO, tradingsymbol: NIFTY06OCT2620900PE, symboltoken: 40612
    120. exchange: NFO, tradingsymbol: NIFTY06OCT2620950CE, symboltoken: 40613
    121. exchange: NFO, tradingsymbol: NIFTY06OCT2620950PE, symboltoken: 40614
    122. exchange: NFO, tradingsymbol: NIFTY06OCT2621000CE, symboltoken: 40615
    123. exchange: NFO, tradingsymbol: NIFTY06OCT2621000PE, symboltoken: 40616
    124. exchange: NFO, tradingsymbol: NIFTY06OCT2621050CE, symboltoken: 40617
    125. exchange: NFO, tradingsymbol: NIFTY06OCT2621050PE, symboltoken: 40618
    126. exchange: NFO, tradingsymbol: NIFTY06OCT2621100CE, symboltoken: 40619
    127. exchange: NFO, tradingsymbol: NIFTY06OCT2621100PE, symboltoken: 40620
    128. exchange: NFO, tradingsymbol: NIFTY06OCT2621150CE, symboltoken: 40621
    129. exchange: NFO, tradingsymbol: NIFTY06OCT2621150PE, symboltoken: 40622
    130. exchange: NFO, tradingsymbol: NIFTY06OCT2621200CE, symboltoken: 40623
    131. exchange: NFO, tradingsymbol: NIFTY06OCT2621200PE, symboltoken: 40624
    132. exchange: NFO, tradingsymbol: NIFTY06OCT2621250CE, symboltoken: 40627
    133. exchange: NFO, tradingsymbol: NIFTY06OCT2621250PE, symboltoken: 40630
    134. exchange: NFO, tradingsymbol: NIFTY06OCT2621300CE, symboltoken: 40631
    135. exchange: NFO, tradingsymbol: NIFTY06OCT2621300PE, symboltoken: 40632
    136. exchange: NFO, tradingsymbol: NIFTY06OCT2621350CE, symboltoken: 40633
    137. exchange: NFO, tradingsymbol: NIFTY06OCT2621350PE, symboltoken: 40634
    138. exchange: NFO, tradingsymbol: NIFTY06OCT2621400CE, symboltoken: 40635
    139. exchange: NFO, tradingsymbol: NIFTY06OCT2621400PE, symboltoken: 40637
    140. exchange: NFO, tradingsymbol: NIFTY06OCT2621450CE, symboltoken: 40638
    141. exchange: NFO, tradingsymbol: NIFTY06OCT2621450PE, symboltoken: 40644
    142. exchange: NFO, tradingsymbol: NIFTY06OCT2621500CE, symboltoken: 40645
    143. exchange: NFO, tradingsymbol: NIFTY06OCT2621500PE, symboltoken: 40646
    144. exchange: NFO, tradingsymbol: NIFTY06OCT2621550CE, symboltoken: 40647
    145. exchange: NFO, tradingsymbol: NIFTY06OCT2621550PE, symboltoken: 40648
    146. exchange: NFO, tradingsymbol: NIFTY06OCT2621600CE, symboltoken: 40649
    147. exchange: NFO, tradingsymbol: NIFTY06OCT2621600PE, symboltoken: 40651
    148. exchange: NFO, tradingsymbol: NIFTY06OCT2621650CE, symboltoken: 40652
    149. exchange: NFO, tradingsymbol: NIFTY06OCT2621650PE, symboltoken: 40653
    150. exchange: NFO, tradingsymbol: NIFTY06OCT2621700CE, symboltoken: 40654
    151. exchange: NFO, tradingsymbol: NIFTY06OCT2621700PE, symboltoken: 40656
    152. exchange: NFO, tradingsymbol: NIFTY06OCT2621750CE, symboltoken: 40657
    153. exchange: NFO, tradingsymbol: NIFTY06OCT2621750PE, symboltoken: 40658
    154. exchange: NFO, tradingsymbol: NIFTY06OCT2621800CE, symboltoken: 40659
    155. exchange: NFO, tradingsymbol: NIFTY06OCT2621800PE, symboltoken: 40660
    156. exchange: NFO, tradingsymbol: NIFTY06OCT2621850CE, symboltoken: 40661
    157. exchange: NFO, tradingsymbol: NIFTY06OCT2621850PE, symboltoken: 40662
    158. exchange: NFO, tradingsymbol: NIFTY06OCT2621900CE, symboltoken: 40663
    159. exchange: NFO, tradingsymbol: NIFTY06OCT2621900PE, symboltoken: 40664
    160. exchange: NFO, tradingsymbol: NIFTY06OCT2621950CE, symboltoken: 40665
    161. exchange: NFO, tradingsymbol: NIFTY06OCT2621950PE, symboltoken: 40666
    162. exchange: NFO, tradingsymbol: NIFTY06OCT2622000CE, symboltoken: 40667
    163. exchange: NFO, tradingsymbol: NIFTY06OCT2622000PE, symboltoken: 40668
    164. exchange: NFO, tradingsymbol: NIFTY06OCT2622050CE, symboltoken: 40669
    165. exchange: NFO, tradingsymbol: NIFTY06OCT2622050PE, symboltoken: 40670
    166. exchange: NFO, tradingsymbol: NIFTY06OCT2622100CE, symboltoken: 40671
    167. exchange: NFO, tradingsymbol: NIFTY06OCT2622100PE, symboltoken: 40672
    168. exchange: NFO, tradingsymbol: NIFTY06OCT2622150CE, symboltoken: 40673
    169. exchange: NFO, tradingsymbol: NIFTY06OCT2622150PE, symboltoken: 40674
    170. exchange: NFO, tradingsymbol: NIFTY06OCT2622200CE, symboltoken: 40675
    171. exchange: NFO, tradingsymbol: NIFTY06OCT2622200PE, symboltoken: 40676
    172. exchange: NFO, tradingsymbol: NIFTY06OCT2622250CE, symboltoken: 40677
    173. exchange: NFO, tradingsymbol: NIFTY06OCT2622250PE, symboltoken: 40678
    174. exchange: NFO, tradingsymbol: NIFTY06OCT2622300CE, symboltoken: 40679
    175. exchange: NFO, tradingsymbol: NIFTY06OCT2622300PE, symboltoken: 40681
    176. exchange: NFO, tradingsymbol: NIFTY06OCT2622350CE, symboltoken: 40682
    177. exchange: NFO, tradingsymbol: NIFTY06OCT2622350PE, symboltoken: 40686
    178. exchange: NFO, tradingsymbol: NIFTY06OCT2622400CE, symboltoken: 40687
    179. exchange: NFO, tradingsymbol: NIFTY06OCT2622400PE, symboltoken: 40688
    180. exchange: NFO, tradingsymbol: NIFTY06OCT2622450CE, symboltoken: 40689
    181. exchange: NFO, tradingsymbol: NIFTY06OCT2622450PE, symboltoken: 40696
    182. exchange: NFO, tradingsymbol: NIFTY06OCT2622500CE, symboltoken: 40697
    183. exchange: NFO, tradingsymbol: NIFTY06OCT2622500PE, symboltoken: 40698
    184. exchange: NFO, tradingsymbol: NIFTY06OCT2622550CE, symboltoken: 40699
    185. exchange: NFO, tradingsymbol: NIFTY06OCT2622550PE, symboltoken: 40700
    186. exchange: NFO, tradingsymbol: NIFTY06OCT2622600CE, symboltoken: 40701
    187. exchange: NFO, tradingsymbol: NIFTY06OCT2622600PE, symboltoken: 40703
    188. exchange: NFO, tradingsymbol: NIFTY06OCT2622650CE, symboltoken: 40704
    189. exchange: NFO, tradingsymbol: NIFTY06OCT2622650PE, symboltoken: 40709
    190. exchange: NFO, tradingsymbol: NIFTY06OCT2622700CE, symboltoken: 40710
    191. exchange: NFO, tradingsymbol: NIFTY06OCT2622700PE, symboltoken: 40711
    192. exchange: NFO, tradingsymbol: NIFTY06OCT2622750CE, symboltoken: 40712
    193. exchange: NFO, tradingsymbol: NIFTY06OCT2622750PE, symboltoken: 40714
    194. exchange: NFO, tradingsymbol: NIFTY06OCT2622800CE, symboltoken: 40715
    195. exchange: NFO, tradingsymbol: NIFTY06OCT2622800PE, symboltoken: 40716
    196. exchange: NFO, tradingsymbol: NIFTY06OCT2622850CE, symboltoken: 40717
    197. exchange: NFO, tradingsymbol: NIFTY06OCT2622850PE, symboltoken: 40720
    198. exchange: NFO, tradingsymbol: NIFTY06OCT2622900CE, symboltoken: 40721
    199. exchange: NFO, tradingsymbol: NIFTY06OCT2622900PE, symboltoken: 40722
    200. exchange: NFO, tradingsymbol: NIFTY06OCT2622950CE, symboltoken: 40723
    201. exchange: NFO, tradingsymbol: NIFTY06OCT2622950PE, symboltoken: 40724
    202. exchange: NFO, tradingsymbol: NIFTY06OCT2623000CE, symboltoken: 40731
    203. exchange: NFO, tradingsymbol: NIFTY06OCT2623000PE, symboltoken: 40732
    204. exchange: NFO, tradingsymbol: NIFTY06OCT2623050CE, symboltoken: 40735
    205. exchange: NFO, tradingsymbol: NIFTY06OCT2623050PE, symboltoken: 40736
    206. exchange: NFO, tradingsymbol: NIFTY06OCT2623100CE, symboltoken: 40741
